PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
DeAndre Jordan,33,DEN,2022-07-11,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,0,1
Bryn Forbes,28,MIN,2022-07-10,Veteran Contract,Minimum Salary Exception,0,1.0,2298385.0,2298385.0,0,1,0,0,0
Patty Mills,33,BKN,2022-07-10,Veteran Contract,Non-Bird Exception,0,2.0,14489402.0,7244701.0,1,0,0,0,0
Jericho Sims,23,NYK,2022-07-09,Veteran Contract,Cap Room,0,2.5,5660082.0,1886694.0,0,0,0,1,0
Sam Hauser,24,BOS,2022-07-09,Veteran Contract,Non-Bird Exception,0,2.5,5658206.0,1886069.0,0,0,1,0,0
Luke Kornet,26,BOS,2022-07-09,Veteran Contract,Minimum Salary Exception,0,2.0,4546582.0,2273291.0,0,0,0,1,1
Kevon Looney,26,GSW,2022-07-09,Veteran Contract,Bird Exception,0,3.0,25500000.0,8500000.0,0,0,0,1,1
JaVale McGee,34,DAL,2022-07-09,Veteran Contract,Taxpayer-MLE,0,2.5,17202840.0,5734280.0,0,0,0,0,1
Edmond Sumner,26,BKN,2022-07-08,Veteran Contract,Minimum Salary Exception,0,2.0,4208118.0,2104059.0,1,0,0,0,0
Darius Garland,22,CLE,2022-07-08,Designated Rookie Scale Extension,Bird Exception,1,5.0,197230450.0,39446090.0,1,0,0,0,0
Donte DiVincenzo,25,GSW,2022-07-08,Veteran Contract,Taxpayer-MLE,0,1.5,9225000.0,4612500.0,0,1,0,0,0
John Wall,31,LAC,2022-07-08,Veteran Contract,Taxpayer-MLE,0,1.5,13281950.0,6640975.0,1,0,0,0,0
D.J. Wilson,26,TOR,2022-07-07,Veteran Contract,Minimum Salary Exception,0,2.0,4546582.0,2273291.0,0,0,0,1,0
Vlatko Cancar,25,DEN,2022-07-07,Veteran Contract,Bird Exception,0,2.5,6815324.0,2271775.0,0,0,1,0,0
T.J. Warren,28,BKN,2022-07-07,Veteran Contract,Minimum Salary Exception,0,1.0,2628597.0,2628597.0,0,0,1,0,0
Raul Neto,30,CLE,2022-07-07,Veteran Contract,Minimum Salary Exception,0,1.0,2463490.0,2463490.0,1,0,0,0,0
Robin Lopez,34,CLE,2022-07-07,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,0,1
Drew Eubanks,25,POR,2022-07-07,Veteran Contract,Minimum Salary Exception,0,1.0,1968175.0,1968175.0,0,0,0,1,0
Zach LaVine,27,CHI,2022-07-07,Veteran Contract,Bird Exception,0,4.5,215159700.0,43031940.0,0,1,0,0,0
Theo Pinson,26,DAL,2022-07-07,Veteran Contract,Minimum Salary Exception,0,1.0,1968175.0,1968175.0,0,1,0,0,0
John Konchar,26,MEM,2022-07-06,Veteran Extension,Bird Exception,1,3.0,18495000.0,6165000.0,0,1,0,0,0
Kessler Edwards,21,BKN,2022-07-06,Veteran Contract,Minimum Salary Exception,0,1.5,3565862.0,1782931.0,0,0,1,0,0
Caleb Martin,26,MIA,2022-07-06,Veteran Contract,MLE,0,2.5,20408850.0,6802950.0,0,0,1,0,0
Thomas Bryant,24,LAL,2022-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,2133278.0,2133278.0,0,0,0,0,1
Cody Martin,26,CHA,2022-07-06,Veteran Contract,Bird Exception,0,4.0,31360000.0,7840000.0,0,0,1,0,0
Jalen Smith,22,IND,2022-07-06,Veteran Contract,Early-Bird Exception,0,2.5,15131319.0,5043773.0,0,0,0,1,0
Derrick Jones Jr.,25,CHI,2022-07-06,Veteran Contract,Non-Bird Exception,0,1.5,6560000.0,3280000.0,0,0,1,1,0
Bol Bol,22,ORL,2022-07-06,Veteran Contract,Bird Exception,0,2.0,4400000.0,2200000.0,0,0,0,0,1
Jusuf Nurkic,27,POR,2022-07-06,Veteran Contract,Bird Exception,0,4.0,70000000.0,17500000.0,0,0,0,0,1
Otto Porter Jr.,29,TOR,2022-07-06,Veteran Contract,MLE,0,1.5,12300000.0,6150000.0,0,0,1,0,0
Aaron Holiday,25,ATL,2022-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,1968175.0,1968175.0,1,0,0,0,0
Bruce Brown Jr.,25,DEN,2022-07-06,Veteran Contract,Taxpayer-MLE,0,1.5,13281950.0,6640975.0,0,1,0,0,0
